Series;Time;Value
Avg processor CPU;2017-02-07T05:30:00.000Z;4.316714307665825
Avg processor CPU;2017-02-07T05:40:00.000Z;4.878453704714775
Avg processor CPU;2017-02-07T05:50:00.000Z;4.770859950780869
Avg processor CPU;2017-02-07T06:00:00.000Z;4.4180528104305266
Avg processor CPU;2017-02-07T06:10:00.000Z;4.848248868187268
Avg processor CPU;2017-02-07T06:20:00.000Z;4.792504840095837
Avg processor CPU;2017-02-07T06:30:00.000Z;4.253960002462069
Avg processor CPU;2017-02-07T06:40:00.000Z;4.819353066881497
Avg processor CPU;2017-02-07T06:50:00.000Z;4.823505439360936
Avg processor CPU;2017-02-07T07:00:00.000Z;4.416811793049177
Avg processor CPU;2017-02-07T07:10:00.000Z;4.818478930989901
Avg processor CPU;2017-02-07T07:20:00.000Z;4.73943412999312
Avg processor CPU;2017-02-07T07:30:00.000Z;4.3383227805296585
Avg processor CPU;2017-02-07T07:40:00.000Z;4.827349522709847
Avg processor CPU;2017-02-07T07:50:00.000Z;4.767643046379089
Avg processor CPU;2017-02-07T08:00:00.000Z;4.590636533498764
Avg processor CPU;2017-02-07T08:10:00.000Z;4.879638607303301
Avg processor CPU;2017-02-07T08:20:00.000Z;7.674095373352369
Avg processor CPU;2017-02-07T08:30:00.000Z;4.673865326245626
Avg processor CPU;2017-02-07T08:40:00.000Z;4.973232322269016
Avg processor CPU;2017-02-07T08:50:00.000Z;4.7289089043935135
Avg processor CPU;2017-02-07T09:00:00.000Z;4.413298681378365
Avg processor CPU;2017-02-07T09:10:00.000Z;7.412951561808586
Avg processor CPU;2017-02-07T09:20:00.000Z;4.768254428108533
Avg processor CPU;2017-02-07T09:30:00.000Z;4.272616622845332
Avg processor CPU;2017-02-07T09:40:00.000Z;4.82098971803983
Avg processor CPU;2017-02-07T09:50:00.000Z;4.736583656072616
Avg processor CPU;2017-02-07T10:00:00.000Z;4.410432476798693
Avg processor CPU;2017-02-07T10:10:00.000Z;4.764977770050367
Avg processor CPU;2017-02-07T10:20:00.000Z;4.743573120236396
Avg processor CPU;2017-02-07T10:30:00.000Z;4.27019880215327
Avg processor CPU;2017-02-07T10:40:00.000Z;5.098151676853497
Avg processor CPU;2017-02-07T10:50:00.000Z;5.251105119784674
Avg processor CPU;2017-02-07T11:00:00.000Z;4.662975068887075
Avg processor CPU;2017-02-07T11:10:00.000Z;4.799306521813074
Avg processor CPU;2017-02-07T11:20:00.000Z;4.9238839775323875
Avg processor CPU;2017-02-07T11:30:00.000Z;4.962883992989858
Avg processor CPU;2017-02-07T11:40:00.000Z;4.760835625727971
Avg processor CPU;2017-02-07T11:50:00.000Z;4.722897458076477
Avg processor CPU;2017-02-07T12:00:00.000Z;4.437083167831103
Avg processor CPU;2017-02-07T12:10:00.000Z;4.787685774763425
Avg processor CPU;2017-02-07T12:20:00.000Z;4.790884429216385
Avg processor CPU;2017-02-07T12:30:00.000Z;4.293818870186806
Avg processor CPU;2017-02-07T12:40:00.000Z;4.771496154864629
Avg processor CPU;2017-02-07T12:50:00.000Z;4.732792003949483
Avg processor CPU;2017-02-07T13:00:00.000Z;4.431082727511724
Avg processor CPU;2017-02-07T13:10:00.000Z;4.999998440345128
Avg processor CPU;2017-02-07T13:20:00.000Z;4.777690250674883
Avg processor CPU;2017-02-07T13:30:00.000Z;4.318746004501978
Avg processor CPU;2017-02-07T13:40:00.000Z;4.749022382497787
Avg processor CPU;2017-02-07T13:50:00.000Z;4.719244452317556
Avg processor CPU;2017-02-07T14:00:00.000Z;4.494879705707232
Avg processor CPU;2017-02-07T14:10:00.000Z;4.795222279429436
Avg processor CPU;2017-02-07T14:20:00.000Z;4.850642365217209
Avg processor CPU;2017-02-07T14:30:00.000Z;4.320435394843419
Avg processor CPU;2017-02-07T14:40:00.000Z;4.794120240211487
Avg processor CPU;2017-02-07T14:50:00.000Z;4.715426237384479
Avg processor CPU;2017-02-07T15:00:00.000Z;4.45296654800574
Avg processor CPU;2017-02-07T15:10:00.000Z;4.826134927074115
Avg processor CPU;2017-02-07T15:20:00.000Z;4.789387313524882
Avg processor CPU;2017-02-07T15:30:00.000Z;4.534563934803009
Avg processor CPU;2017-02-07T15:40:00.000Z;4.84104302028815
Avg processor CPU;2017-02-07T15:50:00.000Z;4.842446711659431
Avg processor CPU;2017-02-07T16:00:00.000Z;4.469041548172632
Avg processor CPU;2017-02-07T16:10:00.000Z;4.8239689618349075
Avg processor CPU;2017-02-07T16:20:00.000Z;4.833609438935916
Avg processor CPU;2017-02-07T16:30:00.000Z;4.383138799667359
Avg processor CPU;2017-02-07T16:40:00.000Z;4.974584025144577
Avg processor CPU;2017-02-07T16:50:00.000Z;4.836592275897662
Avg processor CPU;2017-02-07T17:00:00.000Z;4.604964784781139
Avg processor CPU;2017-02-07T17:10:00.000Z;8.296278902888298
Avg processor CPU;2017-02-07T17:20:00.000Z;5.88301948606968
Avg processor CPU;2017-02-07T17:30:00.000Z;4.329677481452624
Avg processor CPU;2017-02-07T17:40:00.000Z;4.801895880699158
Avg processor CPU;2017-02-07T17:50:00.000Z;4.7719455689191825
Avg processor CPU;2017-02-07T18:00:00.000Z;4.370740958054861
Avg processor CPU;2017-02-07T18:10:00.000Z;4.779068447152774
Avg processor CPU;2017-02-07T18:20:00.000Z;4.746339104572932
Avg processor CPU;2017-02-07T18:30:00.000Z;4.2750410278638205
Avg processor CPU;2017-02-07T18:40:00.000Z;4.771140360832215
Avg processor CPU;2017-02-07T18:50:00.000Z;4.688020232319832
Avg processor CPU;2017-02-07T19:00:00.000Z;5.1054261237382885
Avg processor CPU;2017-02-07T19:10:00.000Z;4.988014242053032
